start	end	text
0	15520	Welcome, team. Let's bring out Spencer Crittenden, shall we? Harmanstown is now in session.
15520	27520	Let's also bring out Brandon Johnson. Brandon Johnson's here, too. And just for good measure
27520	30160	at Harmanstown, let's bring out the mayor of Harmanstown, Dan Harman.
38160	45600	Rockin' to the beat, going downstairs, saw your mama, said, hey, okay. I got excited,
45600	52720	but then I got just, something happened. I don't know. I got terrified. I didn't want to
53440	57840	rap all of a sudden, really fast. I went from wanting to rap really bad to not wanting to
57840	62960	rap really fast. Because you didn't feel the flow? Yeah, I think the flow got a little clogged,
62960	69600	and then I just panicked. How do we unclog that flow? I mean, I'm being for real right now.
69600	76720	A hot towel. Is there a flow? A hot towel? Yeah. Welcome back, Spencer. Thanks, man.
76800	84800	Spencer is back. Oh, I got a couch. I see you've accepted my demands for
85600	93360	one couch and one pointed polished pyramid. Yeah, we don't, we don't, we typically don't air
93360	98640	our contract renegotiations here at Harmanstown. You know, the grievances and what we keep,
98640	104320	we keep a line there. Everything else is transparency and stuff, but it is rough. His
104320	109040	contract was up, you know, and it was like, I should have never signed you to a one plus one.
110560	115280	It was weird because like I wanted to agree, but like the Spencer's Guild was like, no.
118000	120320	He's got his own guild. I had to authorize the strike.
121840	129120	How are the Spencer's Guild and Producer Guild negotiations going?
129120	134080	It's hard to tell who's talking about anything. Like what stance anyone's taking.
134080	138160	Because you're also a producer. Well, yeah, I mean, I'm both sides of the table.
138160	142480	I'm on both sides of the table and like, it's hard. Yeah, exactly. So it's always in my own
142480	149360	benefit. How's HarmanQuest? Oh, it's so good. I know. I don't know. Sometimes I'm getting
149360	155360	real mad and then I'm like, this is bad. It's the best job in the world. It's like,
155360	159440	you should be getting mad. What are you getting mad at? Just like at the boards,
159440	164560	all these boards. I'm like, oh, just like things that need a job. Yeah. It's just, yeah,
164560	168800	but it's so fun. Holy shit. I mean, you talked about it in the last episode. I heard, I was like,
168800	175280	hell yeah. He's lying about the show. Yeah. And you know, Cody, like not only has never
175280	180400	seen it before, but she's watching an animatic. She's watching a thing with her fiance's ex wife
180400	185040	in it. Not that she has any, she doesn't have any pettiness there, but I'm just saying like,
185040	188720	there's a lot of English on that ball. It's not predisposed to like it. But she was like,
189440	194640	and she's never seen the first season. So all of these things, she was like, oh my God,
194640	199520	that's so like great. She was like really into it. Like she's like, I understood all the jokes.
199520	204560	I don't care about no D and D, but it was like, like, Aaron's really funny and everything's like
204560	210640	working really good. And yeah, it's the only, the only, the only thing is I, I just like,
211360	219840	I'm not going to like assess over it, but like, I just, I can't believe the lethargy on my face,
219840	224000	like in the beginning, it's like crazy. The first season, I guess, cause we're like,
224000	227680	oh, how do we do it? And then I, so then we did like a bunch of takes where I was like,
228400	234960	John Oliver, oh, you know, like, which you do need to do because the camera takes away
234960	239520	10 pounds of energy. So this time around, which is really light in the first place.
239600	243200	I just remember being like, oh, I'm, I'm real chill. It's like, let's just harm a quest. It's
243200	247040	like this. Let's just have some fun. And I'm watching. I'm like, am I blind? I look like
247040	251680	I'm blind. That's true. Yeah. You're not like looking, you're like not looking at any single
251680	256240	thing and it's really off putting. So here's the thing. Yeah, it is. Everyone hated it.
256240	260720	Like, like, I just, I wish somebody would have hit me with a stick and said that we're doing
260720	265600	another take you gotta, but here's the thing about those cameras. Like it's one thing to,
266400	270480	you know, if you had stage fright versus like, oh, I'm comfortable, people looking at me,
270480	275280	I'll be fine. And then there's, there is another layer where you do like a single camera work
275280	280720	or it's like, okay, there's a camera over here or right here or whatever, but it's one camera.
281440	285360	And my job is to ignore it. My job is to focus on the cookies. Cause my
285360	289120	right. You can never look at it. And then there's this, that, that live
289920	295600	uh, for before where your solo cam is the tally light comes on in your camera too.
295600	299280	That's your, that's your camera, but it's not even like, cause we're not doing it live. So it's not
299280	304880	even like the, the, the, the, the red light comes on. It's more like, the director says to you,
304880	309840	Hey, Dan, if you, when you're going to look at the camera, that's the, that's your camera and
309840	316640	points at one of the cameras. And so the thing that freaks me out is I go, okay, so I know it's
316640	323200	not live. They're not editing in board. So that like, it's sort of like, it puts it in my head
323200	329920	that it's like, I have control over whether the, it cuts to me. And so then I'm like, well, I'm
329920	334080	never going to make the decision for it to cut to me. So then I'm like, yeah, that's how I feel.
334800	338880	It's just a weird thing that it doesn't matter how talented a performer or how comfortable in
338880	342560	your own skin you might be. It's a totally different talent. I think section of the idea
342560	347920	that not being thrown by this idea, like on whose line there's tally lights where the red
347920	355040	light comes on. They're just doing it like in a fake, like live edit. And then they, seven or
355040	359280	eight cameras are all rolling at the same time. So they're, they're all good to go. No matter where
359280	365760	you're looking, that camera is rolling. But on, on Herman quest, there's no tally light. The light,
365760	369920	the red light doesn't come on and says, this is the one that's on you right now. But you can take
369920	375760	a camera take to any camera at any time. And that can be in the edit. Yeah. You can also get
375760	380560	the fuck out of there the same way. So if you know that a camera's covering you that you don't
380560	385440	particularly agree with the take on, you can throw the take. Thus, like when you're the camera that's
385440	389840	on you, like this take is going to suck. Cause I fucked up the line straight to camera. Yeah.
389840	394480	But all this, this is showmanship. You guys are talking about, you guys, that's the, that's the,
394480	398480	that's the membrane I'm talking about. I'm like, Spencer and I are over here on this side of like,
399440	404160	our top, the top of our game is like, I'm the world's most comfortable nerd. Like I,
404160	410640	I'm no longer going to vomit by being in front of people or even a camera. But then on the other
410640	416720	side of that line is just like, Oh, while you're playing make believes ease, you're also like,
416720	420480	boy, Karen's hogging the spotlight tonight. Like just sort of like, you're, there's like
420480	425360	calculations going on. And, you know, I was never good at like the long form improv cause
426080	432480	I was just a bad listener. I would just be like, why I just sort of start thinking about like,
432480	436880	Oh, I should, I should come in as a crab or something. And like, like, then I'm like,
436880	441440	I'm writing a crab thing in my head that the other people are going to fuck up when I come in.
442880	448400	Cause it's the improv you moron. And, and the, and for the 30 seconds that I'm sitting there going
448400	452400	like, Oh, and the crabs going to come in and it's, this is what I'm going to do. Like there,
452400	456320	there's things I'm supposed to be listening to. Yeah. For me, like Harmon quest, I, I mean,
456320	460800	I take it like copious notes and I'm writing things down. Cause I want to remember the name
460800	465040	of the thing that Spencer said, the name of the town, all the names, but then while you're
465680	470320	Spencer's laying down all this detail and I'm writing that down, but while it's happening,
470320	475360	something improv is happening and I'm not listening to that. So I've got the detail,
475360	480800	but not the, the moment that just happened. And so it's a hard line to walk. Yeah.
481600	486720	Yeah, baby. Well, let's, let's refine some of our chops tonight. We could do some drills.
487600	493600	All right. All right. Um, why don't we just play some good old fashioned D and D with
493600	500720	Spencer right now? Oh shit. Is that what you meant? The audience wasn't that enthused.
501920	507200	No, no, no, no, no, no. Oh God. I didn't mean like that. And the crowd goes,
507200	513360	I'm trying to get to know you guys. What did you mean precisely, Dan? I was, I was just high.
513360	518160	He wanted to sit. I was going like, well, let's do some dumb improv bits, but.
518160	524960	All right. Let's do dumb improv, but, uh, let's walk the line between thinking ahead and being
524960	529360	in the moment. I'm not going to, uh, I'm only going to be in the moment. You're only in the moment.
529360	532320	You're not going to think about the crab character that's going to come in later on.
533120	538080	Right. All right. So Spencer, like be dungeon master for us and give us like, like, lay a,
538080	543760	lay a, like a scene on us. All right. Uh, uh, can I get a suggestion?
546240	552000	You're on a spaceship. Okay. Snip, snip. I'm a crab. No,
552000	554480	I hope no one's to the left. The direction I move.
554480	568640	Well, captain, uh, friend tester, uh, why did you let your crab out of the tank? You know that
568640	574240	it's against academy regulations to leave, uh, wild animals, uh, on the spaceship.
574240	578400	The academy had it their way. This ship would be made of regulations.
578400	584240	As far as whether Herman is allowed to roam the cabin,
584240	587040	I think he's been on a few more missions than you nurse Falco.
593680	595120	But away he goes.
595120	604800	Oh, damn crab alert. Crab alert.
607360	611440	There's a crab alert installed on the ship. Destroying crab.
614240	616400	No, Herman destroyed.
617760	621280	You don't remember last week when you asked me to put in that crab software.
621440	627920	Cause you told me, uh, you need all these lasers and some of these drinks to be poured on crabs.
628720	634800	Marcus, what are you, are you, uh, I'm, I'm talking to you over the, uh,
634800	642000	telescreen, right? You just, I captain, I you're, you're, you're, you're down in the,
642000	645440	in the mechanic bay. That's where I smoke weed. Yeah.
645440	651840	You can, you can do just about anything with those, uh, computer tools. Can't you Marcus?
651840	656480	Oh man. Dental hygiene, air conditioning. I can tune up a cat.
658080	661360	Anyway, I'm going back to what you were doing. I just wanted to know,
661360	665200	was it successful? Was my crab thing like invention? Was it good? Do you like it?
665200	668640	Yes, it killed my crab. I'm distraught.
670560	673120	I better, uh, I'm going to come down and see you Marcus.
673120	678240	Oh man. I gotta clean this place up first. Okay. Hey, please come down captain, please.
679600	686160	Over and out nurse Falco. Yes. Uh, I'm going to find it hard to believe you didn't know
686160	692320	that was going to happen. I'd be lying if I said I didn't. I tend to know exactly what's
692320	695840	going on aboard the ship. It is my job as the spaceship nurse.
695840	708000	Well, uh, I have a, uh, a little bit of a scrape on one of my fingers. Okay. Uh,
708000	712960	let me attend to that. Oh, oh, it's my middle one. I'm holding up my middle one.
712960	716400	Are you, are you being ironic or are you, are you just telling me to fuck off?
716400	719760	Man the helm, Falco. I'm going to talk to Marcus.
719760	726560	Falco. Falco, pick up. Falco, it's Marcus. Pick up. Falco.
727600	732080	Falco. Yes. Look, uh, captain's on his way down and, uh, I'm not going to be able to see you
732080	738880	tonight. So, um, look, uh, as far as he's concerned, we've never met. We, we don't ever,
739600	745040	we don't ever have anything going on. Okay. Okay. I just, I was, I was gonna,
745040	748560	you know, I was going to put the good shoes on just so you know. All right. Okay.
749920	753600	I'll call you back. What? Jesus. It smells like a skunk down here.
755520	761200	Boy, you can take the city out of the astronauts or wait, you can't.
763120	769840	You can't. You can take the astronaut, astronaut out of the city. That's what you can do.
770800	778800	And what we did do, what we failed to realize we could never do was remove the city from your bones.
779920	788240	You urban magical. Whoa. Look, just sit down, man. All right. I'm glad you're here, captain.
788240	792720	You know, I don't really get a lot of time to do a chance to spend with the higher up. So I'm glad
792720	798960	you came down. Yeah. Did I offend you? No, no, no, no. You want a couple of noodles? Uh, well,
798960	805120	tell you the truth. Wouldn't mind a little of that sticky wicky that I'm smelling everywhere.
805120	809600	I have no idea what you're talking about, officer, but it's right here.
811440	813680	Do you have to press the button five times or?
815840	819040	You can shake it back and forth just to make the setting for yourself if you want.
820480	820960	Right.
820960	829040	It sounds like Cheetos. Fuck. I probably got too high.
833840	837200	That's a signal three. Uh, captain. We have, uh,
837200	846800	we have an incoming message from your arch enemy. Uh, put the weapons on standby,
846800	853600	charge the shields. I'll be right up. Okay. Oh, fuck. Shields charged. Oh, I can't see.
853600	861840	Are you, is anyone there? Johnson, are they on? Oh, wait. It's me. Diablos. Uh, surrender your
861840	874320	spaceship. No. Yes. Johnson. I can't see. Oh, I'm sorry, man. Uh, let me raise up the hailing
874320	879840	shields. No, no. What? No. Oh God. What? Put those back down. Okay.
880800	886000	Use it. Wait, wait. Why can't you see? Those are shields. Yes. But you want to be able to see,
886000	895760	right? Yeah. Okay. So, uh, putting on vision, uh, mode. What? Vision mode enhanced. Marcus,
895760	901360	you have to be the captain. I'm too high. Where, where am I at? No, no. Just do it. Just do it.
902080	908240	I'll tell everyone. I'll tell everyone you got me high. Okay. Okay. Okay. Snark ass, snitch ass
908240	913840	snark. All right. Shields up. We need to get ready for evasive procedures.
916400	926480	Diablo. It is I captain. What exactly do you want from us? Spaceship. What? I want it. Okay. Hold
926480	932240	on for a second. I got you. Hold him on for a second. What are you saying? He wants a spaceship.
932880	939600	Do it's a whole thing. Yeah, we're in it. Sorry. I'm nurse Falco. I think that we should, we,
939600	943680	we shouldn't put the shields up. We should put the, we put the shields back down too.
944240	948480	Like he just did. I think we should, there should be a shields down situation. Are they
948480	955360	on when they're up or down? I thought down was up. Yeah. Well, what? Shields down.
956480	962560	You're the captain Marcus. God damn it. I leave the shields halfway up, halfway down so we can
962560	969200	peer over them and see the enemy Diablo. Do you think the vernacular of the shield technicians
969200	976240	is more rooted in the handheld shields being raised for infantry or the old haggard, the horrible
976240	981280	thing coming down over the, the, the head. I think it's like an engineering thing. Like cuts the
981280	987360	lights or, or is it, does it come down like, like up and down together? What are the states
987360	993040	of the shield that are available? Uh, we have shields up. We have weapon shields and we have
993040	999760	vision shields that you see through a, through a shield. It's not a perfect system here.
1000720	1004880	It looks like their shields are down. I could see the button. Maybe we should just fire on them.
1004880	1010560	Fire Diablo. Oh fuck. See, oh, we're hit. God damn it. And I was looking at these
1010560	1017040	Cheetos. All right. Look, we've been hit under my leadership, which is some bullshit by the way.
1017920	1023520	Thank you. Fucking the worst time to make me captain. Diablo. There are two ships.
1024960	1032720	There are two ships. Oh shit. That's right. And this one is injured. So you will have our other
1032720	1042800	ship. That sounds perfect. Now let us pass and get to safety so we can tell you about that other
1042800	1052880	ship. All right. I'll do that. And then I'll monologue. Excellent. I became Diablo 2000 years
1052960	1063520	ago at the peaks of Mount Olympus on earth. Dot, dot, dot. Oh no.
1067120	1070080	Oh, he's in the background now. He put himself in the background.
1071760	1082400	He became the baby captain. Look next to you. Oh, Red Bull. Oh, drink it.
1082960	1086880	Okay. Drink the Red Bull captain. I just don't think, I mean, it's not like I'm.
1090080	1098240	It gives me heartburn. No, it'll make you come back. Okay. We need your sage leadership.
1098240	1102640	I tried to lead the ship, but I was too high. You did great. You got rid of the guy. What are
1102640	1112080	you talking about? They blew the West Wing off. They did. And I cried. Anyway, get back upstairs
1112160	1117280	and show us why you're the captain. Captain. Okay. Then I went back in there and I said,
1117280	1126640	I'd like my job back. There's Falco. I'm back for the mechanic day. Diablo's monologue completed.
1127840	1134400	Lower all shields. I know it. Lower all shields. Captain, that puts us in a very vulnerable
1134400	1144720	situation. Does it? Yes. That's how ships work. All shields lowered.
1149440	1156480	Diablo's. Yeah, yeah. As you can see, we are quite vulnerable over here. Right.
1156480	1165040	We have no other ship to give you. What? Why was I just monologuing all this time?
1166320	1174880	Cause you're a fool. Oh, a damn fool. No, no. You floated over to a section of space. What?
1174880	1180400	Called the fantabulon zone. But that would mean that I'm getting fantabulous.
1180400	1187760	If you thrust your engines, your entire ship will explode from the chain reaction
1187760	1195760	from the anti dark matter. No one tells Diablo's how to fly. No, boom. Oh,
1197600	1203360	really happened. It actually happened. Captain Francesca. I can't believe that worked. Yeah.
1203360	1208240	I, he, he really, he really fell for that hook line and sinker. I mean, it kind of didn't work
1208240	1214080	because I was bluffing. So my bluff failed miserably because it turns out he was actually
1214080	1220480	in the anti-matter space and really blew up. I thought you knew that. That was your point.
1220480	1226960	No, I was making it up. Couldn't tell. Snap, snap. I'm a ghost. Oh no, it's Diablo's ghost.
1226960	1237040	Diablo's ghost. It's the crab, Marcus. Yes. That's, I'm a crab. Oh, he came back as a crab.
1238240	1248480	All right. Everyone loves us. Dan, you, you were very in the moment there. I kind of, I
1248480	1254800	listen, I spent more time listening than usual. I usually don't listen as much as I was.
1256480	1262400	Cause you're what you're thinking about the next 10 seconds ahead. Yeah. Yeah. Yeah. I tried not
1262400	1270160	to do that this time. Happy? Yeah. Very, very happy. We, we had a good time. I had a good time.
1272320	1278000	Right. Are you, are you happy? Spencer is back with us. Yeah. Oh yeah. Everyone loves it.
1278800	1283520	Uh, I had to come back cause you said you could do the show without me. So I was like, oh, okay.
1283520	1288560	Yeah. Well explain yourself now. Was it, were you just busy? You said you were bummed out at one
